,first_part
0,جاسوسی
1,پیاده‌روی
3,متمرکز
7,متمایز
8,تاکید
9,به‌دنبال
15,تربیت
18,دچار
19,لازم
20,مرتکب
22,سرنگون
23,کم
31,غیب
33,جاری
34,یقین
37,تکذیب
38,معرفی
41,بازنویسی
47,فعالیت
49,متوجه
50,بسیج
51,محصور
52,متاسف
53,ترسیم
56,طغیان
57,روشن
58,تحقیر
59,التیام
60,بیکار
61,دارا
62,توضیح
66,سروکار
67,وارد
68,بازرسی
70,شامل
71,آماده
72,راهنمایی
73,مجسم
75,برابری
76,پاره‌پاره
77,میخکوب
79,گردگیری
80,خودنمایی
82,جیغ
83,پی
84,سرازیر
85,سعی
86,رویا
88,تعقیب
89,سنگینی
90,پراکنده
94,آگاهی
95,مجاب
96,جریان
99,نیاز
101,چسبناک
105,ناشی
106,دستگیر
107,تمیز
108,پنهان
112,مجبور
114,صورتی
115,لاپوشانی
120,اطمینان
124,دست‌وپا
125,زق‌زق
127,صاف
128,ایمان
132,مخفی
133,خودکشی
135,خیانت
138,ولو
139,متعلق
141,رونویسی
142,دستکاری
143,علاقمند
145,مواجه
147,پایان
148,غلغل
151,گیر
153,بلند
156,منتهی
157,تحسین
158,درست
159,مطمئن
163,ایجاد
164,بررسی
165,یاد
166,زنده
167,خیس
172,منتشر
173,مشغول
174,دسترسی
176,شادی
177,تزریق
179,بی‌احتیاطی
183,تغییر
186,بازسازی
187,مجذوب
192,رها
193,تقدیر
195,جرات
197,بهره‌مند
198,ریسک
200,تیک‌تاک
201,هدیه
202,مشخص
205,بد
207,گم
208,درگیر
209,بیزار
211,متعجب
213,متلاشی
215,ناممکن
219,نمایش
220,غرق
221,کنده‌کاری
222,جابجا
223,محدود
225,تردید
226,پررویی
227,افزایش
228,پایبند
231,شایعه
232,ترتیب
234,آرایش
235,تلف
237,یخ
239,دوباره‌نویسی
241,واقعیت
243,منجر
248,فراموش
252,چیکار
253,سینه
254,قربانی
257,برقرار
258,آسیب
260,برگزار
261,سربه‌نیست
269,موفق
274,نصب
275,لخت
278,دریافت
282,قانع
283,تهییج
284,تنها
285,ترجیح
286,شناسایی
287,هدر
288,تکمیل
293,آغشته
294,پرت
295,خطور
302,نادیده
303,تقسیم
304,آرام
305,راضی
309,پیدا
310,دیکته
312,جلوگیری
314,متفاوت
317,تعظیم
318,باندپیچی
321,پیش
324,فریاد
329,آمادگی
330,وقت‌کشی
333,مربوط
334,پدید
335,جمع‌آوری
336,تعریف
338,تهیه
340,بیرون
343,منعکس
344,بیان
345,سپری
348,رعایت
349,نابود
353,تحریف
356,تبلیغ
357,عضویت
363,روحیه
365,ناراحت
367,اضافه‌کاری
370,یادآوری
371,پیشی
374,ممکن
376,همراهی
378,پاک
379,نفس‌نفس
380,بازی
384,تایید
387,برخوردار
388,خیره
390,کثیف
391,پدیدار
392,روغن‌کاری
393,نگران
395,تامل
398,بیداد
399,رفت‌وآمد
401,بیمه
402,تشویق
406,تکیه
407,متشکر
408,کوچک
410,پیچ
411,عملی
412,تلقین
413,تحمیل
414,باقی
415,جاسازی
416,تصمیم
417,اهمیت
418,ناامید
420,ناپدید
421,برملا
424,قایل
425,تشکیل
430,وفادار
431,یکه
434,تلقی
438,بس
439,تشخیص
440,تحویل
442,نقاشی
448,ساکت
451,بیدار
452,خاموش
456,فاقد
459,تصدیق
461,توزیع
462,دراز
463,منسوخ
464,دوری
465,سازماندهی
466,عصبانی
470,یافت
473,ایجاب
476,تجزیه
479,کافی
481,آشکار
483,شوکه
484,هدایت
485,ستایش
486,قادر
488,تاثیر
489,قیمت
491,منسوب
492,جست‌وجو
493,فایده
494,تلاقی
501,زندگی
502,روبرو
504,پشت‌پا
505,گرفتار
506,نگه
507,خوش
510,تبدیل
511,کرایه
512,توانایی
514,متنفر
516,خودداری
520,گرسنگی
525,ممنوع
526,نمایان
528,موافق
529,پرهیز
530,تسلیم
533,وارسی
538,متحد
542,فرورفت
545,حیف
546,بی‌تابی
548,جای
555,جدا
557,پیروی
562,نصیب
563,مستلزم
564,حاکی
566,حقیقت
567,خمیازه
574,کفایت
575,متوقف
576,درپی
579,احتیاج
582,نزدیک
585,سختگیری
587,سکندری
588,جایگزین
595,مطرح
598,منتظر
599,دوبرابر
600,بعید
601,روی
604,وادار
606,تولید
610,مرتب
